age,workclass,loan_amount,Education,Years_of_education,Martial_status,Occupation,Race,Gender,Capital_gain,Capital_loss,Weekly_work_hours,Country/area_of_origin,income,Index,Employed,Bank_Balance,loan_purpose,credit_history,past_bankruptcy,Default
24,Private,445412,HS-grad,9,Divorced,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,50,Australia,<=50K,9647,0,12948.96,Home Improvements,17.2,1,0
60,Federal-gov,262328,Some-college,10,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,40,Australia,<=50K,8508,0,21807.36,Debt Consolidation,21.1,0,0
28,Private,99999999,Assoc-voc,11,Divorced,Craft-repair,Amer-Indian-Eskimo,Male,0,0,40,Australia,<=50K,7737,0,0,Debt Consolidation,14.9,0,0
31,Private,347666,Assoc-acdm,12,Divorced,Other-service,Amer-Indian-Eskimo,Female,0,0,40,Australia,<=50K,5049,0,10662.72,Debt Consolidation,12,0,1
34,Private,176220,7th-8th,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,4244,0,4888.08,Debt Consolidation,6.1,0,0
67,Private,206602,10th,6,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,20,Australia,<=50K,9853,0,14639.76,Debt Consolidation,17.3,0,0
74,,217646,10th,6,Married-civ-spouse,,Amer-Indian-Eskimo,Male,1797,0,30,Australia,<=50K,4099,0,16143.48,Debt Consolidation,19.6,1,1
42,Private,648714,HS-grad,9,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,60,Australia,<=50K,8574,0,7014.24,Buy House,8.2,0,0
44,Private,548746,HS-grad,9,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,40,Australia,<=50K,9485,0,9967.8,Debt Consolidation,22.6,0,0
56,Federal-gov,215952,HS-grad,9,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,40,Australia,<=50K,6474,0,16278.36,Debt Consolidation,13.9,0,0
42,Self-emp-inc,99999999,Some-college,10,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,2885,0,30,Australia,<=50K,3813,0,12683.4,Debt Consolidation,16,0,0
48,Self-emp-not-inc,541970,Some-college,10,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,7688,0,40,Australia,>50K,2384,0,13891.08,Home Improvements,23.2,0,0
41,State-gov,99999999,Bachelors,13,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,48,Australia,>50K,9788,0,0,Debt Consolidation,8.5,0,0
51,Private,99999999,Bachelors,13,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,15024,0,40,Australia,>50K,2044,0,12497.28,Debt Consolidation,13.3,1,0
32,Private,234124,11th,7,Never-married,Craft-repair,Amer-Indian-Eskimo,Male,13550,0,60,Australia,>50K,2211,0,11445.72,Debt Consolidation,24.7,1,0
28,Local-gov,449020,HS-grad,9,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,35,Australia,<=50K,7452,0,3735.84,Debt Consolidation,19.4,0,0
29,Private,653004,HS-grad,9,Never-married,Craft-repair,Amer-Indian-Eskimo,Male,0,0,40,Australia,<=50K,4762,0,11908.2,Debt Consolidation,20.5,0,1
19,Private,666204,Some-college,10,Never-married,Sales,Amer-Indian-Eskimo,Female,0,1721,25,Australia,<=50K,1096,0,16187.52,Debt Consolidation,22,0,0
19,,66396,Some-college,10,Never-married,,Amer-Indian-Eskimo,Female,0,0,40,Australia,<=50K,5983,0,9772.2,Debt Consolidation,27.1,1,1
35,Private,390390,Some-college,10,Never-married,Sales,Amer-Indian-Eskimo,Female,0,0,40,Australia,<=50K,4414,0,9726.48,Home Improvements,22.7,0,1
26,Private,317108,Some-college,10,Separated,Sales,Amer-Indian-Eskimo,Male,2597,0,48,Australia,<=50K,3879,0,14166.36,Debt Consolidation,17.4,0,0
